domainname,nr_asn
ihoster.ch,4587.0
bkw.ch,4574.0
ender-informatics.ch,4571.0
hung.ch,4570.0
woody.ch,4569.0
ackle.ch,4566.0
ipdinstitute.ch,4564.0
hostedbusiness.ch,4556.0
integration.ch,4555.0
netcetera-payment.ch,4555.0
eurisco.ch,4551.0
29a.ch,4548.0
zynex.ch,4545.0
bettybossi.ch,4543.0
avdtec.ch,4537.0
fenaco.ch,4534.0
mailxpert.ch,4531.0
stadtluzern.ch,4530.0
migrosbank.ch,4527.0
perso.ch,4527.0
shinternet.ch,4525.0
b-source.ch,4521.0
emsservices.ch,4520.0
mail-ch.ch,4519.0
loterie.ch,4517.0
herzogdemeuron.ch,4513.0
globonet.ch,4509.0
cyhost.ch,4509.0
krk03.ch,4507.0
netspan.ch,4507.0
sumosear.ch,4507.0
digitag.ch,4506.0
hrcd.ch,4506.0
con2u.ch,4491.0
icn.ch,4490.0
momondo.ch,4489.0
sesamnet.ch,4487.0
proton.ch,4476.0
globalipaction.ch,4475.0
webforge-dns.ch,4475.0
metas.ch,4470.0
a4cdn.ch,4467.0
domrobot.ch,4466.0
internetradio-schweiz.ch,4466.0
adslpremium.ch,4462.0
default.ch,4454.0
dsl-net.ch,4450.0
spin.ch,4445.0
slf.ch,4432.0
sz.ch,4430.0
generali.ch,4425.0
draxinusom.ch,4421.0
geistlich.ch,4416.0
fhv.ch,4414.0
idmobile.ch,4410.0
mammut.ch,4408.0
radioswissjazz.ch,4402.0
fust.ch,4402.0
cybershield.ch,4400.0
bern.ch,4398.0
gsinfo.ch,4395.0
tup.ch,4387.0
ai.ch,4385.0
6raum.ch,4376.0
rtp.ch,4376.0
wide.ch,4375.0
kisslabs.ch,4373.0
dwa.ch,4367.0
netserver.ch,4365.0
fer-ge.ch,4363.0
cobolt.ch,4358.0
worldnet.ch,4357.0
messe.ch,4355.0
as2.ch,4353.0
littlebit.ch,4346.0
itcnetcloud.ch,4337.0
interdesk.ch,4336.0
purecloud.ch,4332.0
vat.ch,4330.0
